Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Butler, Liam; Karabayir, Ibrahim; Tootooni, Mohammad Samie; Afshar, Majid; Goldberg, Ari; Akbilgic, Oguz; ",Image and structured data analysis for prognostication of health outcomes in patients presenting to the Emergency Department during the COVID-19 pandemic,medRxiv,,,2021.07. 07.21260097,2021,Cold Spring Harbor Laboratory Press
"Tootooni, Mohammad Samie; Rao, Prahalad K; Chou, Chun-An; Kong, Zhenyu James; ",A spectral graph theoretic approach for monitoring multivariate time series data from complex dynamical processes,IEEE Transactions on Automation Science and Engineering,15,1,127-144,2016,IEEE
"Tootooni, Mohammad Samie; Pasupathy, Kalyan S; Heaton, Heather A; Clements, Casey M; Sir, Mustafa Y; ",CCMapper: An adaptive NLP-based free-text chief complaint mapping algorithm,Computers in Biology and Medicine,113,,103398,2019,Elsevier
"Fan, Miaolin; Tootooni, Mohammad Samie; Sivasubramony, Rajesh Sharma; Miskovic, Vladimir; Rao, Prahalada K; Chou, Chun-An; ",Acute stress detection using recurrence quantification analysis of electroencephalogram (EEG) signals,"Brain Informatics and Health: International Conference, BIH 2016, Omaha, NE, USA, October 13-16, 2016 Proceedings",,,252-261,2016,Springer
"Tootooni, Mohammad Samie; Fan, Miaolin; Sivasubramony, Rajesh Sharma; Chou, Chun-An; Miskovic, Vladimir; Rao, Prahalada K; ",Graph Theoretic Compressive Sensing Approach for Classification of Global Neurophysiological States from Electroencephalography (EEG) Signals,"Brain Informatics and Health: International Conference, BIH 2016, Omaha, NE, USA, October 13-16, 2016 Proceedings",,,42-51,2016,Springer
"Tootooni, Mohammad Samie; ",Sensor based monitoring of multidimensional complex systems using spectral graph theory,,,,,2016,State University of New York at Binghamton
"Ramrakhyani, Ravi Kumar; Tootooni, Mohammad Samie; Nagarur, Nagen; ",Analysis of a vendor managed consignment inventory system with kan-ban withdrawals and payment delays,Industrial and Systems Engineering Review,6,1,41-61,2018,
"Obeidat, Ahmad Y; Gu, Siyuan; Mukherjee, Shantanu; Tootooni, Mohammad Samie; Nagarur, Nagendra N; ",Analysis of Process Layout Behavior under Different Manufacturing Strategies,IIE Annual Conference. Proceedings,,,2433,2013,Institute of Industrial and Systems Engineers (IISE)
"Hiura, Grant T; Markossian, Talar W; Kramer, Holly J; Probst, Beatrice D; Tootooni, Mohammad Samie; ",Older Age and Higher Number of Comorbidities Are Associated With Therapeutic Inertia for Blood Pressure Control,Circulation,146,Suppl_1,A12066-A12066,2022,Am Heart Assoc
"de la Pena, Paula; Tootooni, Mohammad Samie; ",The Utilization of Natural Language Processing in Predicting Emergency Department Overcrowding: A Literature Review,,,,,2021,
"Tootooni, Mohammad Samie; Barreto, Erin; Wutthisirisart, Phichet; Pasupathy, Kalyan; Kashani, Kianoush; ",890: Vancomycin Dosing in Intensive Care Unit Patients: A Machine Learning Approach,Critical Care Medicine,49,1,442,2021,LWW
"Khanzadeh, Mojtaba; Jafari Marandi, Ruholla; Tootooni, M Samie; Bian, Linkan; Smith, Brian; Rao, Prahalad; ",Profiling and optimizing the geometric accuracy of additively manufactured components via self-organizing map,2016 International Solid Freeform Fabrication Symposium,,,,2016,University of Texas at Austin
